"voxel_id","ncsnr","subj_id","x","y","z"
"S1-18-15-44",0.43357789516449,1,18,15,44
"S1-18-15-45",0.526593804359436,1,18,15,45
"S1-18-15-47",0.52115386724472,1,18,15,47
"S1-18-15-48",0.544421672821045,1,18,15,48
"S1-18-15-49",0.490402609109879,1,18,15,49
"S1-18-15-50",0.440399497747421,1,18,15,50
"S1-18-15-51",0.412327170372009,1,18,15,51
"S1-18-16-34",0.222303882241249,1,18,16,34
"S1-18-16-35",0.282704949378967,1,18,16,35
"S1-18-16-36",0.327442407608032,1,18,16,36
"S1-18-16-37",0.271043300628662,1,18,16,37
"S1-18-16-38",0.21103398501873,1,18,16,38
"S1-18-16-39",0.326900392770767,1,18,16,39
"S1-18-16-40",0.446527719497681,1,18,16,40
"S1-18-16-42",0.733065366744995,1,18,16,42
"S1-18-16-43",0.384218573570251,1,18,16,43
"S1-18-16-44",0.369095295667648,1,18,16,44
"S1-18-16-45",0.636453449726105,1,18,16,45
"S1-18-16-46",0.694122195243835,1,18,16,46
"S1-18-16-47",0.503267109394073,1,18,16,47
"S1-18-16-48",0.411273717880249,1,18,16,48
"S1-18-16-49",0.314316213130951,1,18,16,49
"S1-18-16-50",0.249664321541786,1,18,16,50
"S1-18-17-33",0.40349355340004,1,18,17,33
"S1-18-17-38",0.202024579048157,1,18,17,38
"S1-18-17-39",0.245120406150818,1,18,17,39
"S1-18-17-42",0.934670507907867,1,18,17,42
"S1-18-17-43",0.32739195227623,1,18,17,43
"S1-18-17-46",0.267388194799423,1,18,17,46
"S1-18-17-50",0.22018501162529,1,18,17,50
"S1-18-18-33",0.456357151269913,1,18,18,33
"S1-18-18-34",0.305220156908035,1,18,18,34
"S1-18-18-35",0.250876665115356,1,18,18,35
"S1-18-18-36",0.276853233575821,1,18,18,36
"S1-18-18-39",0.273741364479065,1,18,18,39
"S1-18-18-40",0.353940635919571,1,18,18,40
"S1-18-18-41",0.538754045963287,1,18,18,41
"S1-18-18-42",0.905632078647614,1,18,18,42
"S1-18-18-48",0.436457008123398,1,18,18,48
"S1-18-18-49",0.296470165252686,1,18,18,49
"S1-18-18-50",0.290528178215027,1,18,18,50
"S1-18-18-51",0.336193472146988,1,18,18,51
"S1-18-18-52",0.221980214118958,1,18,18,52
"S1-18-19-34",0.554600417613983,1,18,19,34
"S1-18-19-35",0.527865469455719,1,18,19,35
"S1-18-19-36",0.48425617814064,1,18,19,36
"S1-18-19-38",0.408204257488251,1,18,19,38
"S1-18-19-39",0.486071437597275,1,18,19,39
"S1-18-19-40",0.408636718988419,1,18,19,40
"S1-18-19-41",0.440369486808777,1,18,19,41
"S1-18-19-42",0.541091799736023,1,18,19,42
"S1-18-19-43",0.455416649580002,1,18,19,43
"S1-18-19-44",0.799789786338806,1,18,19,44
"S1-18-19-45",0.941464126110077,1,18,19,45
"S1-18-19-46",0.523163437843323,1,18,19,46
"S1-18-19-48",0.680436015129089,1,18,19,48
"S1-18-19-49",0.523483872413635,1,18,19,49
"S1-18-19-50",0.461901843547821,1,18,19,50
"S1-18-19-51",0.432204902172089,1,18,19,51
"S1-18-19-52",0.251590043306351,1,18,19,52
"S1-18-20-33",0.471637666225433,1,18,20,33
"S1-18-20-34",0.599070727825165,1,18,20,34
"S1-18-20-35",0.609346032142639,1,18,20,35
"S1-18-20-36",0.544670879840851,1,18,20,36
"S1-18-20-38",0.418354958295822,1,18,20,38
"S1-18-20-39",0.525890231132507,1,18,20,39
"S1-18-20-41",0.643478333950043,1,18,20,41
"S1-18-20-42",0.766582667827606,1,18,20,42
"S1-18-20-43",1.04409682750702,1,18,20,43
