voxel_id,subj_id,ncsnr,OTC,early,ventral,midventral,lateral,midlateral,parietal,midparietal,FFA-1,FFA-2,OFA,EBA,FBA-1,FBA-2,OPA,PPA,VWFA-1,VWFA-2,OWFA
S1-15-26-43,1,0.495492160320282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-15-26-44,1,0.4559669494628906,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-26-45,1,0.7558572292327881,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-26-46,1,0.7233020067214966,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-26-47,1,0.5201829671859741,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-27-42,1,0.3333143889904022,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-15-27-44,1,0.7218791246414185,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-27-45,1,0.8204674124717712,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-27-46,1,0.49253618717193604,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-27-47,1,0.37033939361572266,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-28-44,1,0.47094255685806274,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-28-45,1,0.5497869253158569,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-28-46,1,0.2846548855304718,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-16-16-42,1,0.7020726799964905,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-16-16-43,1,0.31143656373023987,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-16-16-44,1,0.7245425581932068,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-16-16-46,1,0.6390190720558167,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-16-16-47,1,0.7998732328414917,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-16-16-48,1,0.46595999598503113,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
