var1,var2,correlation,metric
RegNet-64Gf-SEER-INFT_seer,BiT-Expert-ResNet-V2-Abstraction_bit_expert,0.5919879748932136,crsa
RegNet-64Gf-SEER-INFT_seer,alexnet_gn_ipcl_vggface2,0.17910645866022779,crsa
RegNet-64Gf-SEER-INFT_seer,point_matching_taskonomy,0.11497238449489372,crsa
RegNet-64Gf-SEER-INFT_seer,BiT-Expert-ResNet-V2-Relation_bit_expert,0.5392336836254391,crsa
RegNet-64Gf-SEER-INFT_seer,swin_tiny_patch4_window7_224_random,0.09788140487444079,crsa
RegNet-64Gf-SEER-INFT_seer,xception_classification,0.505952267946542,crsa
RegNet-64Gf-SEER-INFT_seer,visformer_small_random,0.0866388111147461,crsa
RegNet-64Gf-SEER-INFT_seer,efficientnet_b3_classification,0.37289656573676055,crsa
RegNet-64Gf-SEER-INFT_seer,ResNet50-BarlowTwins-BS2048_selfsupervised,0.1414059835025954,crsa
RegNet-64Gf-SEER-INFT_seer,vit_base_patch32_224_random,0.08646524771166864,crsa
RegNet-64Gf-SEER-INFT_seer,resmlp_36_224_classification,0.526650818830278,crsa
RegNet-64Gf-SEER-INFT_seer,nf_resnet50_classification,0.6438047002727227,crsa
RegNet-64Gf-SEER-INFT_seer,levit_128_classification,0.5706611100809273,crsa
RegNet-64Gf-SEER-INFT_seer,denoising_taskonomy,0.04927712725274229,crsa
RegNet-64Gf-SEER-INFT_seer,BiT-Expert-ResNet-V2-Arthropod_bit_expert,0.5385800230656145,crsa
RegNet-64Gf-SEER-INFT_seer,resmlp_12_224_classification,0.18328208674390012,crsa
RegNet-64Gf-SEER-INFT_seer,densenet121_random,0.10521970668485538,crsa
RegNet-64Gf-SEER-INFT_seer,swin_large_patch4_window7_224_random,0.09081816769824386,crsa
RegNet-64Gf-SEER-INFT_seer,room_layout_taskonomy,0.1773883562216601,crsa
RegNet-64Gf-SEER-INFT_seer,nfnet_l0_classification,0.6473147983675634,crsa
RegNet-64Gf-SEER-INFT_seer,retinanet_R_50_FPN_3x_detection,0.5110266904914645,crsa
RegNet-64Gf-SEER-INFT_seer,yolov5s_yolo,0.5155315895038518,crsa
RegNet-64Gf-SEER-INFT_seer,segment_unsup2d_taskonomy,0.08571056760697228,crsa
RegNet-64Gf-SEER-INFT_seer,depth_zbuffer_taskonomy,0.2470662504456384,crsa
RegNet-64Gf-SEER-INFT_seer,cspresnet50_random,0.022139761420910318,crsa
RegNet-64Gf-SEER-INFT_seer,vit_small_patch16_224_random,0.07506304788385015,crsa
RegNet-64Gf-SEER-INFT_seer,gmlp_s16_224_random,0.07640374915347024,crsa
RegNet-64Gf-SEER-INFT_seer,tnt_s_patch16_224_random,0.10746497728422656,crsa
RegNet-64Gf-SEER-INFT_seer,ResNet50-RotNet_selfsupervised,0.3943300509405977,crsa
RegNet-64Gf-SEER-INFT_seer,skresnext50_32x4d_random,-0.01517029234493037,crsa
RegNet-64Gf-SEER-INFT_seer,ViT-S-SimCLR_slip,0.4157209419475692,crsa
RegNet-64Gf-SEER-INFT_seer,swin_base_patch4_window7_224_classification,0.3629449287213188,crsa
RegNet-64Gf-SEER-INFT_seer,alexnet_gn_ipcl_places256,0.1910729230564908,crsa
RegNet-64Gf-SEER-INFT_seer,ViT-B-SLIP_slip,0.5072118006129303,crsa
RegNet-64Gf-SEER-INFT_seer,deit_base_patch16_224_random,0.10488886543870518,crsa
RegNet-64Gf-SEER-INFT_seer,keypoints3d_taskonomy,0.26765448096651984,crsa
RegNet-64Gf-SEER-INFT_seer,ResNet50-JigSaw-P100_selfsupervised,0.47854275466202745,crsa
RegNet-64Gf-SEER-INFT_seer,convnext_base_classification,0.545736400031103,crsa
RegNet-64Gf-SEER-INFT_seer,yolov5m_yolo,0.5492821571510272,crsa
RegNet-64Gf-SEER-INFT_seer,edge_texture_taskonomy,0.08910314795982655,crsa
RegNet-64Gf-SEER-INFT_seer,BiT-Expert-ResNet-V2-Vehicle_bit_expert,0.5512056462820103,crsa
RegNet-64Gf-SEER-INFT_seer,ViT-S-SLIP_slip,0.45904716153267866,crsa
RegNet-64Gf-SEER-INFT_seer,ViT-L/14_clip,0.41590832455957294,crsa
